"","tag_code_2","natal_origin"
"514","3D9.1C2CDDF5DE",10
"515","3D9.1C2CDDF941",4
"516","3D9.1C2CDDFB6B",10
"517","3D9.1C2CDDFB94",10
"518","3D9.1C2CDDFF7A",4
"519","3D9.1C2CDE072C",4
"520","3D9.1C2CDE210D",10
"521","3D9.1C2CDF79C3",10
"522","3D9.1C2CDF7CF3",10
"523","3D9.1C2CDF85CE",10
"524","3D9.1C2CDF885F",10
"525","3D9.1C2CE3BFEB",10
"526","3D9.1C2CE9ED9E",10
"527","3D9.1C2CEA6268",10
"528","3D9.1C2CEA6455",10
"529","3D9.1C2CEC2C0C",10
"530","3D9.1C2CEC4D7B",10
"531","3D9.1C2CED5DAF",10
"532","3D9.1C2CEE9CFC",10
"533","3D9.1C2CF42363",16
"534","3D9.1C2CF4236C",16
"535","3D9.1C2CF42387",16
"536","3D9.1C2CF42684",16
"537","3D9.1C2CF42DBF",16
"538","3D9.1C2CF432E6",16
"539","3D9.1C2CF433EA",16
"540","3D9.1C2CF5C0BF",16
"541","3D9.1C2CF5C0F8",16
"542","3D9.1C2CF5C4ED",16
"543","3D9.1C2CF5C6C7",16
"544","3D9.1C2CF5CAA1",16
"545","3D9.1C2CF5F602",16
"546","3D9.1C2CF5F60C",16
"547","3D9.1C2CF60271",16
"548","3D9.1C2CF605B6",16
"549","3D9.1C2CF62165",16
"550","3D9.1C2CF64763",16
"551","3D9.1C2CF647B8",16
"552","3D9.1C2CF648D0",16
"553","3D9.1C2CF648D0_repeat",16
"554","3D9.1C2CF64C17",16
"555","3D9.1C2CF64CEB",16
"556","3D9.1C2CF652F4",16
"557","3D9.1C2CF65501",16
"558","3D9.1C2CF65525",16
"559","3D9.1C2CF6A436",16
"560","3D9.1C2CF6A50D",16
"561","3D9.1C2CF6D405",16
"562","3D9.1C2CF6D55F",16
"563","3D9.1C2CF6D8DC",16
"564","3D9.1C2CF70ACA",16
"565","3D9.1C2CF70C79",16
"566","3D9.1C2CF72915",16
"567","3D9.1C2CF76494",16
"568","3D9.1C2CF768C1",16
"569","3D9.1C2CF78106",16
"570","3D9.1C2CF7A08A",16
"571","3D9.1C2CF7D65E",16
"572","3D9.1C2CF7D8CF",16
"573","3D9.1C2CF7DF32",16
"574","3D9.1C2CF7E0D6",16
"575","3D9.1C2CF7E28E",16
"576","3D9.1C2CF7EB72",16
"577","3D9.1C2CF7ED64",16
"578","3D9.1C2CF7ED7D",16
"579","3D9.1C2CF7EE7C",16
"580","3D9.1C2CF7EF7A",16
"581","3D9.1C2CF7F144",16
"582","3D9.1C2CF7F4DA",16
"583","3D9.1C2CF8526C",10
"584","3D9.1C2CFB9FD7",10
"585","3D9.1C2CFDF7EF",10
"586","3D9.1C2CFE0040",10
"587","3D9.1C2D025357",10
"588","3D9.1C2D02693F",10
"589","3D9.1C2D027E57",10
