day,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
49,,175.642,156.413,219.529,163.171,103.033,195.104,172.896,240.913,117.688,160.263,107.138,133.433,204.771,173.046,184.375,200.263,185.242,183.938,148.304,150.117,113.575,198.100,188.696,134.442,162.071,141.854,184.996,376.408,259.529,202.733,209.188,202.179,108.638,126.642,109.329,101.546,164.913,171.504,117.750,130.250,111.288,112.121,213.167,111.925,143.633,129.754,241.238,185.033,222.513,246.738,140.483,197.867,174.746,177.771,127.244
50,,205.221,157.554,213.033,192.075,130.054,197.867,174.929,225.958,103.733,128.313,108.117,127.113,229.442,283.500,221.900,220.933,193.104,197.433,135.771,143.958,90.750,178.350,201.871,133.817,162.388,136.050,152.383,381.658,266.829,203.183,216.250,157.596,122.146,132.967,117.675,114.592,139.717,157.363,141.996,147.404,121.517,112.325,208.696,113.763,142.596,109.500,236.058,183.904,246.979,238.658,137.217,172.042,183.050,151.204,128.050
51,,226.738,174.571,199.121,238.579,145.746,203.567,197.467,199.917,110.833,151.479,169.217,125.375,241.563,308.196,248.200,205.279,213.333,214.083,136.333,115.492,108.096,194.508,196.267,145.950,137.642,103.788,176.817,419.529,285.063,215.383,222.658,153.329,124.071,143.213,103.417,134.192,110.225,168.271,139.146,158.563,124.579,111.629,200.138,132.625,147.700,108.550,236.729,169.904,238.729,236.283,119.571,162.538,177.817,153.058,111.750
52,,171.613,163.317,207.954,245.833,147.917,209.708,175.125,226.325,103.938,168.642,182.463,148.488,240.000,262.246,256.296,195.254,218.196,214.104,147.338,115.792,136.588,184.946,197.642,147.325,107.783,123.446,172.738,377.996,273.208,201.925,212.633,139.400,119.675,140.033,113.717,124.996,112.721,163.925,136.438,116.313,122.396,113.158,192.021,121.392,136.013,103.104,223.046,205.625,244.529,225.558,113.150,169.725,139.508,159.875,120.800
53,,199.629,118.575,207.096,238.054,149.683,236.908,220.617,187.738,119.121,188.154,189.233,186.604,200.979,275.567,273.150,216.842,194.817,198.879,134.567,119.796,147.054,188.721,167.858,150.258,138.825,145.833,208.163,377.467,358.617,191.046,191.854,161.342,119.138,127.692,94.054,82.521,142.313,165.563,114.371,150.092,126.896,120.608,178.796,121.733,128.058,117.513,226.908,203.579,238.888,223.308,135.742,150.538,122.446,180.500,129.356
54,,171.333,116.958,215.833,205.071,137.296,247.517,163.914,192.467,142.958,161.188,189.008,145.046,214.113,323.063,268.050,233.704,196.000,205.679,128.996,150.913,141.933,194.379,198.533,126.688,140.071,126.388,207.371,386.917,338.233,191.454,210.221,146.196,138.496,102.871,110.338,132.538,128.871,172.546,111.338,103.792,123.838,122.183,211.063,162.533,120.942,116.283,226.571,169.221,266.054,224.992,137.375,136.842,122.683,185.554,122.706
55,,159.058,161.408,209.058,214.283,120.558,218.546,182.854,236.375,126.183,176.700,160.825,121.096,200.921,355.979,287.713,234.304,165.233,230.942,164.600,137.442,130.271,167.604,171.279,139.008,162.117,151.575,207.429,385.404,275.508,197.767,214.450,188.708,112.192,116.713,113.304,132.100,113.008,179.225,126.325,105.238,103.404,106.363,190.263,156.967,122.754,113.808,223.013,178.883,255.475,226.679,142.854,137.017,150.529,160.871,130.622
56,,156.096,151.175,211.079,236.796,113.400,220.225,190.533,233.263,133.404,170.763,118.075,121.671,205.479,370.400,293.017,226.275,180.967,303.913,154.763,132.342,115.575,153.908,187.108,137.075,144.883,142.513,196.250,408.692,273.896,221.188,237.792,193.025,100.283,148.392,121.138,142.267,104.354,167.992,118.271,120.413,95.433,103.342,189.213,117.083,111.754,109.354,202.613,184.646,251.133,210.338,127.396,157.796,138.529,163.525,132.117
57,,154.746,124.675,228.033,174.446,118.121,244.058,204.608,223.579,127.079,152.821,140.800,121.342,212.463,354.738,266.108,164.542,203.417,287.754,159.008,110.592,109.388,182.342,207.088,128.888,148.500,140.633,178.150,392.708,276.421,208.913,228.579,182.983,133.000,164.600,124.217,104.304,100.842,120.325,119.304,106.500,122.738,106.096,187.508,131.463,121.225,111.367,182.746,185.463,243.113,208.967,134.208,160.488,127.650,176.575,135.367
58,,154.363,139.479,207.188,178.404,139.675,222.783,191.317,228.154,107.063,165.292,188.450,136.808,203.217,317.179,263.017,183.750,190.304,316.408,148.854,114.133,122.371,181.958,215.296,149.579,126.813,103.004,204.196,387.708,276.738,218.717,234.283,162.721,134.642,141.746,93.092,151.929,123.617,154.608,133.921,148.125,142.229,96.142,195.792,159.292,114.517,121.342,212.750,154.525,216.475,208.979,137.033,158.529,129.829,144.925,119.111
