Row Labels,Count of tag_code
Imnaha_River,88
John_Day_River,492
Methow_River,47
Okanogan_River,11
Salmon_River,222
Tucannon_River,118
Umatilla_River,259
Walla_Walla_River,249
Wenatchee_River,40
Yakima_River,34
"mainstem, BON to MCN",7236
Asotin_Creek,73
Clearwater_River,586
Deschutes_River,4
Entiat_River,50
Fifteenmile_Creek,30
Grande_Ronde_River,564
Hood_River,4
Imnaha_River,591
John_Day_River,1289
Methow_River,547
Okanogan_River,61
Salmon_River,1392
Tucannon_River,562
Umatilla_River,567
Walla_Walla_River,447
Wenatchee_River,417
Yakima_River,52
"mainstem, ICH to LGR",29228
Asotin_Creek,453
Clearwater_River,5266
Deschutes_River,2
Fifteenmile_Creek,6
Grande_Ronde_River,5211
Imnaha_River,4049
