Row Labels,Count of tag_code
John_Day_River,451
Methow_River,5
Okanogan_River,1
Salmon_River,8963
Tucannon_River,2726
Umatilla_River,164
Walla_Walla_River,1905
Wenatchee_River,1
Yakima_River,25
"mainstem, MCN to ICH or PRA",53
Asotin_Creek,3
Clearwater_River,10
Grande_Ronde_River,1
Imnaha_River,7
John_Day_River,1
Salmon_River,18
Tucannon_River,8
Walla_Walla_River,3
Wenatchee_River,2
"mainstem, mouth to BON",3
Walla_Walla_River,2
Yakima_River,1
"mainstem, PRA to RIS",12265
Asotin_Creek,22
Clearwater_River,24
Entiat_River,421
Grande_Ronde_River,78
Imnaha_River,111
John_Day_River,32
Methow_River,6251
Okanogan_River,947
Salmon_River,184
Tucannon_River,66
Umatilla_River,20
Walla_Walla_River,67
Wenatchee_River,3951
Yakima_River,91
"mainstem, RIS to RRE",3
Entiat_River,1
Methow_River,2
Walla Walla River,919
Asotin_Creek,1
Clearwater_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,3
Imnaha_River,4
John_Day_River,10
Salmon_River,3
Tucannon_River,35
Umatilla_River,7
Walla_Walla_River,854
Yakima River,494
Grande_Ronde_River,3
Imnaha_River,1
John_Day_River,2
Salmon_River,9
Tucannon_River,1
Umatilla_River,2
Walla_Walla_River,2
Yakima_River,474
"mainstem, mouth to BON",14772
Hood River,1
Hood_River,1
loss,762
Asotin_Creek,8
Clearwater_River,52
Deschutes_River,14
Entiat_River,14
Fifteenmile_Creek,18
Grande_Ronde_River,34
Hood_River,108
Imnaha_River,47
John_Day_River,73
Methow_River,70
Okanogan_River,2
Salmon_River,149
Tucannon_River,25
Umatilla_River,39
Walla_Walla_River,55
Wenatchee_River,44
Yakima_River,10
"mainstem, BON to MCN",14009
Asotin_Creek,102
Clearwater_River,923
Deschutes_River,200
Entiat_River,95
Fifteenmile_Creek,91
Grande_Ronde_River,1483
Hood_River,2757
Imnaha_River,1091
John_Day_River,521
Methow_River,1296
Okanogan_River,210
Salmon_River,2358
Tucannon_River,748
Umatilla_River,508
Walla_Walla_River,625
Wenatchee_River,897
Yakima_River,104
"mainstem, PRA to RIS",13075
loss,341
Asotin_Creek,2
Clearwater_River,2
Entiat_River,7
Grande_Ronde_River,6
Imnaha_River,7
John_Day_River,7
Methow_River,136
Okanogan_River,11
Salmon_River,9
Tucannon_River,8
Umatilla_River,3
Walla_Walla_River,6
Wenatchee_River,132
Yakima_River,5
"mainstem, MCN to ICH or PRA",1147
Asotin_Creek,15
Clearwater_River,16
Entiat_River,39
Grande_Ronde_River,52
Imnaha_River,76
John_Day_River,21
Methow_River,353
Okanogan_River,49
Salmon_River,101
Tucannon_River,37
Umatilla_River,14
Walla_Walla_River,46
Wenatchee_River,264
Yakima_River,64
"mainstem, PRA to RIS",17
Entiat_River,1
Okanogan_River,1
Salmon_River,1
Wenatchee_River,14
"mainstem, RIS to RRE",11570
Asotin_Creek,15
Clearwater_River,16
Entiat_River,407
Grande_Ronde_River,40
Imnaha_River,60
John_Day_River,7
Methow_River,6062
Okanogan_River,906
Salmon_River,131
Tucannon_River,35
Umatilla_River,6
Walla_Walla_River,36
Wenatchee_River,3814
Yakima_River,35
"mainstem, RIS to RRE",13047
loss,905
Entiat_River,76
Grande_Ronde_River,5
Imnaha_River,6
John_Day_River,3
Methow_River,254
Okanogan_River,49
Salmon_River,9
Tucannon_River,6
Umatilla_River,1
Walla_Walla_River,5
Wenatchee_River,483
Yakima_River,8
"mainstem, MCN to ICH or PRA",17
Entiat_River,11
Tucannon_River,1
Wenatchee_River,5
"mainstem, PRA to RIS",780
Asotin_Creek,9
Clearwater_River,10
Entiat_River,29
Grande_Ronde_River,20
Imnaha_River,32
John_Day_River,3
Methow_River,294
Okanogan_River,18
Salmon_River,56
Tucannon_River,14
Umatilla_River,3
Walla_Walla_River,20
Wenatchee_River,259
Yakima_River,13
"mainstem, RIS to RRE",2
Entiat_River,1
Salmon_River,1
"mainstem, RRE to WEL",9934
Asotin_Creek,11
Clearwater_River,9
Entiat_River,401
Grande_Ronde_River,27
Imnaha_River,41
John_Day_River,1
Methow_River,5786
Okanogan_River,889
Salmon_River,95
Tucannon_River,20
Umatilla_River,4
Walla_Walla_River,18
Wenatchee_River,2614
Yakima_River,18
Wenatchee River,1409
Entiat_River,3
Imnaha_River,1
Methow_River,11
Okanogan_River,2
Tucannon_River,1
Umatilla_River,1
Walla_Walla_River,2
Wenatchee_River,1387
Yakima_River,1
"mainstem, RRE to WEL",11400
Entiat River,392
Entiat_River,299
Imnaha_River,1
Salmon_River,1
Tucannon_River,1
Walla_Walla_River,1
Wenatchee_River,89
loss,610
Clearwater_River,1
Entiat_River,12
Grande_Ronde_River,2
Imnaha_River,4
Methow_River,117
Okanogan_River,10
Salmon_River,11
Tucannon_River,2
Umatilla_River,1
Walla_Walla_River,6
Wenatchee_River,439
Yakima_River,5
"mainstem, MCN to ICH or PRA",7
Entiat_River,1
Methow_River,4
Okanogan_River,1
Salmon_River,1
"mainstem, PRA to RIS",11
Asotin_Creek,1
Entiat_River,3
Methow_River,4
Okanogan_River,1
Salmon_River,1
Walla_Walla_River,1
"mainstem, RIS to RRE",1348
Asotin_Creek,5
Clearwater_River,3
Entiat_River,109
Grande_Ronde_River,12
Imnaha_River,20
Methow_River,271
Okanogan_River,50
Salmon_River,28
Tucannon_River,7
Umatilla_River,3
Walla_Walla_River,7
Wenatchee_River,828
Yakima_River,5
"mainstem, RRE to WEL",1
Salmon_River,1
"mainstem, upstream of WEL",9031
Asotin_Creek,8
Clearwater_River,8
Entiat_River,204
Grande_Ronde_River,20
Imnaha_River,31
John_Day_River,1
Methow_River,5930
Okanogan_River,942
Salmon_River,84
Tucannon_River,18
Umatilla_River,1
Walla_Walla_River,11
Wenatchee_River,1763
Yakima_River,10
"mainstem, upstream of LGR",30399
Asotin Creek,362
Asotin_Creek,275
Grande_Ronde_River,11
John_Day_River,2
Tucannon_River,65
Umatilla_River,1
Walla_Walla_River,8
Clearwater River,1559
Clearwater_River,1493
John_Day_River,2
Methow_River,1
Tucannon_River,48
Umatilla_River,4
Walla_Walla_River,11
Grande Ronde River,410
Asotin_Creek,8
Grande_Ronde_River,374
John_Day_River,13
Tucannon_River,13
Walla_Walla_River,2
Imnaha River,1614
Grande_Ronde_River,4
Imnaha_River,1603
John_Day_River,1
Salmon_River,1
Tucannon_River,3
Umatilla_River,1
Walla_Walla_River,1
loss,16907
Asotin_Creek,104
Clearwater_River,3369
Fifteenmile_Creek,1
Grande_Ronde_River,4293
Imnaha_River,1884
John_Day_River,116
Methow_River,3
Okanogan_River,1
Salmon_River,5742
Tucannon_River,1003
Umatilla_River,29
Walla_Walla_River,358
Wenatchee_River,1
Yakima_River,3
"mainstem, ICH to LGR",7277
Asotin_Creek,118
Clearwater_River,1524
Deschutes_River,2
Fifteenmile_Creek,1
Grande_Ronde_River,840
Imnaha_River,730
John_Day_River,107
Methow_River,8
Okanogan_River,1
Salmon_River,1661
Tucannon_River,1621
Umatilla_River,78
Walla_Walla_River,573
Wenatchee_River,1
Yakima_River,12
"mainstem, MCN to ICH or PRA",7
Clearwater_River,1
Imnaha_River,4
Salmon_River,2
NA,1
Salmon_River,1
Salmon River,2262
John_Day_River,2
Salmon_River,2257
Tucannon_River,3
"mainstem, upstream of WEL",9258
loss,5601
Asotin_Creek,4
Clearwater_River,3
Entiat_River,40
Grande_Ronde_River,10
Imnaha_River,14
John_Day_River,1
Methow_River,4138
Okanogan_River,248
Salmon_River,35
Tucannon_River,6
Walla_Walla_River,2
Wenatchee_River,1094
Yakima_River,6
"mainstem, RIS to RRE",3
Salmon_River,1
Wenatchee_River,2
"mainstem, RRE to WEL",1346
Asotin_Creek,3
Clearwater_River,3
Entiat_River,132
Grande_Ronde_River,7
Imnaha_River,14
Methow_River,540
Okanogan_River,114
Salmon_River,30
Tucannon_River,7
Umatilla_River,1
Walla_Walla_River,8
Wenatchee_River,485
Yakima_River,2
Methow River,1570
Asotin_Creek,1
Clearwater_River,1
Entiat_River,47
Grande_Ronde_River,2
Imnaha_River,3
Methow_River,1243
Okanogan_River,45
Salmon_River,13
Tucannon_River,5
Walla_Walla_River,2
Wenatchee_River,207
Yakima_River,1
Okanogan River,728
Asotin_Creek,1
Clearwater_River,1
Entiat_River,1
Grande_Ronde_River,1
Imnaha_River,2
Methow_River,127
Okanogan_River,578
Salmon_River,13
Wenatchee_River,3
Yakima_River,1
Upstream WEL other tributaries,10
Entiat_River,1
Methow_River,1
Okanogan_River,2
Salmon_River,1
Wenatchee_River,5
Methow River,1570
loss,1391
Clearwater_River,1
Entiat_River,23
Grande_Ronde_River,2
Imnaha_River,2
Methow_River,1137
Okanogan_River,40
Salmon_River,6
Tucannon_River,5
Walla_Walla_River,1
Wenatchee_River,173
Yakima_River,1
"mainstem, RRE to WEL",11
Entiat_River,8
Wenatchee_River,3
"mainstem, upstream of WEL",168
Asotin_Creek,1
Entiat_River,16
Imnaha_River,1
Methow_River,106
Okanogan_River,5
Salmon_River,7
Walla_Walla_River,1
Wenatchee_River,31
Okanogan River,728
loss,673
Asotin_Creek,1
Clearwater_River,1
Entiat_River,1
Grande_Ronde_River,1
Imnaha_River,1
Methow_River,116
Okanogan_River,538
Salmon_River,11
Wenatchee_River,2
Yakima_River,1
"mainstem, upstream of WEL",55
Imnaha_River,1
Methow_River,11
Okanogan_River,40
Salmon_River,2
Wenatchee_River,1
Salmon River,2262
loss,2105
John_Day_River,2
Salmon_River,2100
Tucannon_River,3
"mainstem, upstream of LGR",157
Salmon_River,157
Tucannon River,1351
loss,1220
Asotin_Creek,5
Clearwater_River,6
Deschutes_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,10
Imnaha_River,3
John_Day_River,17
Salmon_River,12
Tucannon_River,917
Umatilla_River,15
Walla_Walla_River,232
Yakima_River,1
"mainstem, ICH to LGR",131
Asotin_Creek,3
Clearwater_River,1
Grande_Ronde_River,3
Imnaha_River,3
John_Day_River,3
Salmon_River,7
Tucannon_River,73
Umatilla_River,1
Walla_Walla_River,36
Yakima_River,1
Umatilla River,799
loss,731
Asotin_Creek,1
Clearwater_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,4
Imnaha_River,1
John_Day_River,58
Salmon_River,4
Tucannon_River,16
Umatilla_River,645
"mainstem, BON to MCN",68
John_Day_River,13
Salmon_River,2
Tucannon_River,4
Umatilla_River,49
Upstream WEL other tributaries,10
loss,7
Okanogan_River,2
Salmon_River,1
Wenatchee_River,4
"mainstem, upstream of WEL",3
Entiat_River,1
Methow_River,1
Wenatchee_River,1
Walla Walla River,919
loss,823
Asotin_Creek,1
Clearwater_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,3
Imnaha_River,1
John_Day_River,10
Salmon_River,1
Tucannon_River,28
Umatilla_River,6
Walla_Walla_River,771
"mainstem, MCN to ICH or PRA",96
Imnaha_River,3
Salmon_River,2
Tucannon_River,7
Umatilla_River,1
Walla_Walla_River,83
Wenatchee River,1409
loss,1289
Imnaha_River,1
Methow_River,1
Tucannon_River,1
Umatilla_River,1
Wenatchee_River,1284
Yakima_River,1
"mainstem, RIS to RRE",120
Entiat_River,3
Methow_River,10
Okanogan_River,2
Walla_Walla_River,2
Wenatchee_River,103
Yakima River,494
loss,464
Grande_Ronde_River,3
John_Day_River,2
Salmon_River,4
Tucannon_River,1
Umatilla_River,2
Walla_Walla_River,1
Yakima_River,451
"mainstem, MCN to ICH or PRA",30
Imnaha_River,1
Salmon_River,5
Walla_Walla_River,1
Yakima_River,23
(blank),
(blank),
(blank),
Grand Total,283467
