"","tag_code_2","natal_origin","rear_type"
"774","384.3B23965EEB",12,2
"775","384.3B23965FD1",12,2
"776","384.3B23965FEE",12,2
"777","384.3B23966005",12,2
"778","384.3B23966082",12,2
"779","384.3B239660B4",12,2
"780","384.3B239660BF",12,2
"781","384.3B2396637D",12,2
"782","384.3B23966404",12,2
"783","384.3B23966750",12,2
"784","384.3B2396678F",12,2
"785","384.3B239667E0",12,2
"786","384.3B239668AC",2,2
"787","384.3B23966AE6",12,2
"788","384.3B23966B01",12,2
"789","384.3B23966BC1",12,2
"790","384.3B23966C92",12,2
"791","384.3B23966CB3",12,2
"792","384.3B23966D9D",12,2
"793","384.3B239670AD",12,2
"794","384.3B239671FA",12,2
"795","384.3B2396726D",12,2
"796","384.3B23967341",12,2
"797","384.3B239673F8",12,2
"798","384.3B239674A1",12,2
"799","384.3B239674BE",12,2
"800","384.3B239674C1",12,2
"801","384.3B23967513",12,2
"802","384.3B23967645",12,2
"803","384.3B239677AF",12,2
"804","384.3B2396782E",12,2
"805","384.3B23967965",12,2
"806","384.3B239679F7",12,2
"807","384.3B23967A63",12,2
"808","384.3B23967AEB",12,2
"809","384.3B23967C7D",12,2
"810","384.3B23967E12",12,2
"811","384.3B23967E42",12,2
"812","384.3B23967E84",12,2
"813","384.3B23967FFB",12,2
"814","384.3B23968010",12,2
"815","384.3B2396804B",12,2
"816","384.3B23968071",12,2
"817","384.3B23968169",12,2
"818","384.3B2396816D",12,2
"819","384.3B23968188",12,2
"820","384.3B239681AE",12,2
"821","384.3B239681DF",12,2
"822","384.3B239683EE",12,2
"823","384.3B2396844A",12,2
"824","384.3B239685FB",12,2
"825","384.3B239688C2",12,2
"826","384.3B23968920",12,2
"827","384.3B23968992",12,2
"828","384.3B23968C06",12,2
