day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
66,107.0540,188.4040,108.9460,99.2540,133.8830,136.0540,91.9710,94.5330,79.7580,53.8210,94.3000,87.6000,103.0000,95.0000,39.7710,34.4460,122.9750,108.0000,77.4792,101.7958,153.4292,64.8000,96.4000,125.5000,101.8125,93.4708,50.9500,
67,97.7960,185.2380,93.5080,73.3250,154.0540,114.0870,92.1120,93.2290,70.8120,41.1120,100.5000,101.3000,105.1000,87.6000,49.7390,71.3040,129.9375,116.5000,90.7609,106.4958,141.5348,130.9000,113.8625,125.0000,102.3167,103.6083,81.9458,
68,89.8250,192.0870,73.8250,117.5670,155.2330,113.5620,84.6460,65.4290,37.7750,70.9290,97.1000,111.1000,86.2000,61.1000,88.2420,88.0080,134.6542,124.1000,61.4708,87.4391,129.1125,112.5000,96.7000,126.7000,97.6250,86.8130,61.3250,
69,99.4330,182.4290,109.2500,137.8790,145.4380,118.2710,61.4830,55.5080,67.4580,79.4080,109.1000,107.0000,76.7000,62.6000,93.5880,82.7670,131.6750,107.3000,41.9000,84.4250,119.8625,115.2958,129.4000,127.6000,71.1174,103.3917,76.3667,
70,72.1920,160.7830,111.4250,111.2290,137.3000,126.6420,53.0830,88.1670,73.2500,84.1250,97.0000,82.8000,58.9000,92.1000,66.6750,81.0080,137.4750,81.9000,87.0250,98.7083,126.1625,119.9000,109.4000,124.0000,77.6333,84.4667,87.0458,
71,60.9710,182.0540,120.1380,114.8620,143.9250,91.5540,85.8710,84.3040,69.5920,69.8960,74.9000,52.4000,99.0000,66.1000,57.2210,72.5920,138.7833,97.2000,79.8458,115.6042,130.4292,141.5000,99.7227,110.4000,65.0667,62.3375,74.8375,
72,93.2540,183.4080,132.2040,103.1460,118.1960,82.9670,92.0080,70.5920,72.3630,66.9380,49.7000,95.4000,85.4000,82.5000,64.6170,60.3540,127.8435,115.0000,90.9208,122.5417,135.0750,113.3000,98.8000,92.8000,57.6500,78.6458,48.3792,
73,75.8380,190.0540,134.9250,79.0170,120.9540,121.8920,86.7670,70.2290,89.1460,52.5920,105.2000,99.3000,101.5000,84.2000,49.0380,58.3220,131.3391,96.5000,70.9375,112.5958,103.4792,114.9182,89.1000,103.7000,69.3125,74.0417,50.4278,
74,82.7750,195.5870,123.1880,87.5170,148.5000,138.1670,85.4830,79.7920,66.7500,39.3670,106.8000,84.8000,121.9000,94.1000,55.0040,63.4380,122.7875,118.6000,73.7625,123.9542,116.3083,121.9000,92.0000,125.8000,77.4042,69.3292,73.1500,
75,74.9080,180.2120,86.3750,133.2500,135.8830,134.8380,75.8750,67.6960,61.0920,64.3580,122.3000,73.9000,129.2000,85.6000,92.7630,71.5620,112.8083,117.6000,60.8375,133.8458,126.4792,108.2000,127.5000,127.8000,81.4083,62.6083,76.4042,
76,57.5040,191.9960,116.8500,135.7750,120.4750,114.7330,50.7040,54.4330,77.0500,73.5370,108.1000,100.1000,113.4000,53.0000,82.6460,55.0830,98.2542,100.9000,51.2083,135.2542,125.5000,92.3000,142.7000,110.5000,68.8083,80.0333,83.2833,
77,51.3420,145.2170,114.6000,123.3790,120.7120,103.3120,43.6830,88.1920,78.2420,82.4170,98.9000,80.0000,99.5000,96.8000,82.4540,79.4580,94.4542,87.6000,68.7875,146.6000,113.5625,124.7000,154.0000,71.0000,75.1125,70.6792,72.8542,
78,42.1960,164.1330,111.0830,117.8120,120.3710,68.9580,79.3040,78.2960,72.5790,80.2960,96.7000,65.6000,113.4000,89.1000,71.3040,67.3540,87.2750,81.7000,75.5667,149.1000,125.9042,117.9000,170.1000,110.7000,80.2500,58.5625,64.5625,
79,83.8330,173.5130,123.8040,102.8710,102.8170,54.2170,77.7210,97.8460,62.5290,80.3130,74.3000,111.3000,136.8000,83.8000,58.2040,50.4330,77.7375,107.2000,62.2333,152.3083,142.7917,83.8000,178.3000,122.8000,64.1458,76.8500,39.8917,
80,117.2210,155.5000,133.2500,78.4630,88.8290,121.5370,82.8380,79.6580,78.4830,58.2960,105.3000,94.5000,139.7000,90.7000,49.2830,36.8380,115.9875,124.3000,66.9792,146.6083,142.1667,83.1000,185.2000,109.1000,58.7083,81.5083,50.2500,
81,135.4460,163.8290,133.1670,52.6710,117.2920,126.0420,60.8210,49.2540,52.0580,40.1750,115.1000,87.7000,147.6000,79.4000,40.0000,55.5540,131.6417,142.0000,69.8958,129.1833,142.3958,38.5000,214.1000,102.2000,70.5708,74.0292,57.8833,
82,137.1420,167.4960,95.9170,88.9040,121.6250,105.1290,65.4380,31.7540,45.8540,69.7710,108.2000,81.3000,155.5000,66.8000,76.3000,80.8830,137.6917,136.4000,61.5833,132.1500,134.1333,85.3000,223.8000,121.0000,49.0917,71.3875,80.3042,
83,132.2500,149.4460,165.5210,90.6290,122.5120,97.7500,53.1170,35.7710,89.1500,71.4790,103.5000,99.5000,165.5000,57.6000,62.9000,71.8080,128.4667,141.0000,49.4375,133.5375,138.1667,115.0000,192.4000,118.3000,48.0542,77.2917,66.3167,
84,106.3790,153.9830,173.0290,155.8210,128.1790,85.0000,39.8710,47.4790,103.7290,81.5960,73.8000,80.0000,117.7000,104.8000,92.0000,57.2580,130.4792,145.7000,72.4458,130.6250,135.9625,77.3000,229.0000,108.6000,62.4458,88.5292,67.3042,
85,105.4210,163.7540,177.1580,141.2210,134.9460,73.1790,73.0420,63.6370,115.2420,79.7080,68.6000,53.0000,133.5000,98.4000,91.0000,56.7000,115.0917,140.1000,89.4750,130.3458,134.8458,107.5000,180.4000,105.4000,68.5375,79.8250,65.9000,
86,129.1710,154.7130,205.6420,126.2710,135.8790,56.1000,77.7170,57.2710,123.7670,72.8960,49.1000,62.9000,145.9000,99.3000,93.8000,57.2460,98.6875,147.1000,98.3500,125.5708,142.2958,99.9000,217.8000,97.3000,63.5000,66.0667,63.7042,
87,100.8210,169.1170,193.8330,127.5670,144.1080,107.5920,71.1540,52.1080,124.1830,52.7580,77.6000,74.3000,169.9000,96.0000,102.7000,54.8710,116.2667,158.3000,112.3000,141.2000,132.2250,98.6000,226.9000,86.0000,58.3667,62.7417,41.8375,
88,90.1120,146.7920,170.4750,138.8790,147.0500,111.0580,61.5120,47.8370,119.4420,46.7250,86.0000,106.7000,175.4000,76.4000,71.7000,72.4540,140.4083,164.2000,101.9583,128.4750,138.6000,136.7000,221.8333,96.1000,60.0375,64.0792,66.4875,
89,75.9210,120.6420,189.6960,129.3670,146.5960,99.6170,65.0750,34.7330,89.4630,74.4330,106.5000,88.2000,183.2000,80.5000,92.4000,60.4790,139.3913,155.1000,79.2667,124.2542,143.2333,118.2000,222.2478,85.6000,62.3625,53.1542,99.1167,
90,67.0830,120.7120,184.4170,96.0670,141.3080,106.7790,53.6500,28.5330,116.9750,74.0250,104.1000,77.1000,174.9000,65.2000,117.8000,55.1710,146.9739,167.9000,71.6583,127.9208,121.8125,116.7000,224.6250,113.5000,55.4783,84.0958,51.3042,
91,70.4540,125.3710,192.0460,64.1420,133.9960,86.2880,36.9170,56.7330,93.3040,69.1670,97.7000,93.3000,163.5000,78.4000,75.1000,48.9420,142.8708,175.5000,86.8792,121.3875,133.8250,73.0000,212.5043,101.6000,65.0667,80.1522,71.5458,
92,71.2390,134.9500,153.6370,60.0330,130.1540,79.4040,65.5500,66.1170,90.2250,75.7960,85.2000,82.8000,177.5000,80.6000,52.4000,67.3290,150.4833,114.9000,83.9250,110.1500,133.8583,118.2000,217.7917,111.5000,61.9833,79.3625,63.6708,
93,96.5120,127.1870,160.4500,68.5540,123.3080,81.6090,63.3170,59.6620,99.2920,80.3790,74.7000,121.8000,192.4000,83.6000,50.1000,51.9000,153.2333,155.2000,123.6958,130.1625,137.8292,51.7000,219.5375,136.3000,51.5417,68.7375,59.8083,
94,115.8580,146.7790,143.9580,59.6540,149.0170,117.9790,68.4250,52.8500,81.2960,54.7500,106.1000,116.0000,187.8000,99.9000,54.3000,42.8920,151.6750,162.5000,127.7792,123.4458,135.5625,113.9000,217.8083,118.5000,65.2042,54.7042,49.4333,
95,114.8370,146.2790,147.4250,42.1040,146.7670,105.0500,64.2630,58.8630,67.7460,37.2480,96.9000,113.7000,170.3000,107.6000,34.4000,71.7500,146.7000,150.8000,125.8333,128.4792,131.9375,156.7000,215.5364,113.7000,57.7958,71.2833,77.6292,
96,100.6080,124.2960,136.4330,59.5870,140.7040,95.3880,65.2540,38.3120,62.2000,75.3380,62.1000,102.4000,150.9000,50.7000,64.9000,63.6920,152.7750,168.3000,112.1292,116.4750,130.4625,147.1000,214.5957,126.7000,59.0792,56.5875,55.7500,
